year,type,product_type,values
1980,Total Manufacturing,"Food, Beverage & Tobacco",2177.9
1980,Total Manufacturing,Textiles,432.7
1980,Total Manufacturing,Wearing Apparel,932.6
1980,Total Manufacturing,"Leather, Leather Products & Footwear",115.3
1980,Total Manufacturing,Wood & Wood Products,806.4
1980,Total Manufacturing,Paper & Paper Products,300.3
1980,Total Manufacturing,Printing & Reproduction Of Recorded Media,570.4
1980,Total Manufacturing,Refined Petroleum Products,11695.1
1980,Total Manufacturing,Chemicals & Chemical Products,703.8
1980,Total Manufacturing,Pharmaceutical & Biological Products,285.7
1980,Total Manufacturing,Rubber & Plastic Products,653.9
1980,Total Manufacturing,Non-metallic Mineral Products,691.9
1980,Total Manufacturing,Basic Metal,527.8
1980,Total Manufacturing,Fabricated Metal Products,1249.9
1980,Total Manufacturing,"Computer, Electronic & Optical Products",5488.4
1980,Total Manufacturing,Electrical Equipment,981.7
1980,Total Manufacturing,Machinery & Equipment,2031
1980,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",132.5
1980,Total Manufacturing,Other Transport Equipment,1955
1980,Total Manufacturing,Furniture,287.8
1980,Total Manufacturing,Other Manufacturing Industries,459
1981,Total Manufacturing,"Food, Beverage & Tobacco",2312.8
1981,Total Manufacturing,Textiles,388.6
1981,Total Manufacturing,Wearing Apparel,978.5
1981,Total Manufacturing,"Leather, Leather Products & Footwear",120.8
1981,Total Manufacturing,Wood & Wood Products,678.1
1981,Total Manufacturing,Paper & Paper Products,336.2
1981,Total Manufacturing,Printing & Reproduction Of Recorded Media,689.4
1981,Total Manufacturing,Refined Petroleum Products,14598.1
1981,Total Manufacturing,Chemicals & Chemical Products,790.2
1981,Total Manufacturing,Pharmaceutical & Biological Products,302.1
1981,Total Manufacturing,Rubber & Plastic Products,684
1981,Total Manufacturing,Non-metallic Mineral Products,942.8
1981,Total Manufacturing,Basic Metal,471.2
1981,Total Manufacturing,Fabricated Metal Products,1460.6
1981,Total Manufacturing,"Computer, Electronic & Optical Products",5714.9
1981,Total Manufacturing,Electrical Equipment,1066.2
1981,Total Manufacturing,Machinery & Equipment,2979.3
1981,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",84
1981,Total Manufacturing,Other Transport Equipment,2184.2
1981,Total Manufacturing,Furniture,352.6
1981,Total Manufacturing,Other Manufacturing Industries,518.8
1982,Total Manufacturing,"Food, Beverage & Tobacco",2482.9
1982,Total Manufacturing,Textiles,297.8
1982,Total Manufacturing,Wearing Apparel,976.5
1982,Total Manufacturing,"Leather, Leather Products & Footwear",109.4
1982,Total Manufacturing,Wood & Wood Products,563
1982,Total Manufacturing,Paper & Paper Products,359.8
1982,Total Manufacturing,Printing & Reproduction Of Recorded Media,742.3
1982,Total Manufacturing,Refined Petroleum Products,14741.2
1982,Total Manufacturing,Chemicals & Chemical Products,852.5
1982,Total Manufacturing,Pharmaceutical & Biological Products,317.5
1982,Total Manufacturing,Rubber & Plastic Products,652.2
1982,Total Manufacturing,Non-metallic Mineral Products,1124.9
1982,Total Manufacturing,Basic Metal,509.7
1982,Total Manufacturing,Fabricated Metal Products,1572.8
1982,Total Manufacturing,"Computer, Electronic & Optical Products",5116.8
1982,Total Manufacturing,Electrical Equipment,1006.7
1982,Total Manufacturing,Machinery & Equipment,3016.9
1982,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",88.3
1982,Total Manufacturing,Other Transport Equipment,2022.2
1982,Total Manufacturing,Furniture,335.8
1982,Total Manufacturing,Other Manufacturing Industries,462.2
1983,Total Manufacturing,"Food, Beverage & Tobacco",2580
1983,Total Manufacturing,Textiles,253
1983,Total Manufacturing,Wearing Apparel,984.1
1983,Total Manufacturing,"Leather, Leather Products & Footwear",106
1983,Total Manufacturing,Wood & Wood Products,499.2
1983,Total Manufacturing,Paper & Paper Products,374.6
1983,Total Manufacturing,Printing & Reproduction Of Recorded Media,846.5
1983,Total Manufacturing,Refined Petroleum Products,13270.5
1983,Total Manufacturing,Chemicals & Chemical Products,981.4
1983,Total Manufacturing,Pharmaceutical & Biological Products,402.7
1983,Total Manufacturing,Rubber & Plastic Products,707.6
1983,Total Manufacturing,Non-metallic Mineral Products,1446.5
1983,Total Manufacturing,Basic Metal,486.1
1983,Total Manufacturing,Fabricated Metal Products,1740.3
1983,Total Manufacturing,"Computer, Electronic & Optical Products",7012.1
1983,Total Manufacturing,Electrical Equipment,1190.7
1983,Total Manufacturing,Machinery & Equipment,2519.9
1983,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",83.3
1983,Total Manufacturing,Other Transport Equipment,1825.1
1983,Total Manufacturing,Furniture,344.2
1983,Total Manufacturing,Other Manufacturing Industries,530.4
1984,Total Manufacturing,"Food, Beverage & Tobacco",2868.9
1984,Total Manufacturing,Textiles,228.1
1984,Total Manufacturing,Wearing Apparel,1139.4
1984,Total Manufacturing,"Leather, Leather Products & Footwear",105.8
1984,Total Manufacturing,Wood & Wood Products,422.9
1984,Total Manufacturing,Paper & Paper Products,411.9
1984,Total Manufacturing,Printing & Reproduction Of Recorded Media,959.7
1984,Total Manufacturing,Refined Petroleum Products,12528.2
1984,Total Manufacturing,Chemicals & Chemical Products,1759.3
1984,Total Manufacturing,Pharmaceutical & Biological Products,538.5
1984,Total Manufacturing,Rubber & Plastic Products,804
1984,Total Manufacturing,Non-metallic Mineral Products,1326.2
1984,Total Manufacturing,Basic Metal,536.4
1984,Total Manufacturing,Fabricated Metal Products,1829.8
1984,Total Manufacturing,"Computer, Electronic & Optical Products",9692
1984,Total Manufacturing,Electrical Equipment,1403.3
1984,Total Manufacturing,Machinery & Equipment,2516
1984,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",85.9
1984,Total Manufacturing,Other Transport Equipment,1903.5
1984,Total Manufacturing,Furniture,411.9
1984,Total Manufacturing,Other Manufacturing Industries,591.4
1985,Total Manufacturing,"Food, Beverage & Tobacco",2941.4
1985,Total Manufacturing,Textiles,186.8
1985,Total Manufacturing,Wearing Apparel,1076.8
1985,Total Manufacturing,"Leather, Leather Products & Footwear",80.9
1985,Total Manufacturing,Wood & Wood Products,359.4
1985,Total Manufacturing,Paper & Paper Products,426.2
1985,Total Manufacturing,Printing & Reproduction Of Recorded Media,936.2
1985,Total Manufacturing,Refined Petroleum Products,11109.5
1985,Total Manufacturing,Chemicals & Chemical Products,2193.5
1985,Total Manufacturing,Pharmaceutical & Biological Products,509.2
1985,Total Manufacturing,Rubber & Plastic Products,722.2
1985,Total Manufacturing,Non-metallic Mineral Products,1049.6
1985,Total Manufacturing,Basic Metal,572
1985,Total Manufacturing,Fabricated Metal Products,1634
1985,Total Manufacturing,"Computer, Electronic & Optical Products",9281.5
1985,Total Manufacturing,Electrical Equipment,1255.4
1985,Total Manufacturing,Machinery & Equipment,2252
1985,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",84.7
1985,Total Manufacturing,Other Transport Equipment,1732.6
1985,Total Manufacturing,Furniture,411.6
1985,Total Manufacturing,Other Manufacturing Industries,539.6
1986,Total Manufacturing,"Food, Beverage & Tobacco",2883
1986,Total Manufacturing,Textiles,226.7
1986,Total Manufacturing,Wearing Apparel,1290
1986,Total Manufacturing,"Leather, Leather Products & Footwear",78
1986,Total Manufacturing,Wood & Wood Products,318.3
1986,Total Manufacturing,Paper & Paper Products,456.5
1986,Total Manufacturing,Printing & Reproduction Of Recorded Media,995.2
1986,Total Manufacturing,Refined Petroleum Products,7087.4
1986,Total Manufacturing,Chemicals & Chemical Products,2252.8
1986,Total Manufacturing,Pharmaceutical & Biological Products,694.5
1986,Total Manufacturing,Rubber & Plastic Products,725.8
1986,Total Manufacturing,Non-metallic Mineral Products,897.3
1986,Total Manufacturing,Basic Metal,626.8
1986,Total Manufacturing,Fabricated Metal Products,1741.2
1986,Total Manufacturing,"Computer, Electronic & Optical Products",11602.5
1986,Total Manufacturing,Electrical Equipment,1352.5
1986,Total Manufacturing,Machinery & Equipment,2130.3
1986,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",68.6
1986,Total Manufacturing,Other Transport Equipment,1763.2
1986,Total Manufacturing,Furniture,397.3
1986,Total Manufacturing,Other Manufacturing Industries,639.4
1987,Total Manufacturing,"Food, Beverage & Tobacco",2584
1987,Total Manufacturing,Textiles,299.7
1987,Total Manufacturing,Wearing Apparel,1617.1
1987,Total Manufacturing,"Leather, Leather Products & Footwear",86.8
1987,Total Manufacturing,Wood & Wood Products,351.2
1987,Total Manufacturing,Paper & Paper Products,617
1987,Total Manufacturing,Printing & Reproduction Of Recorded Media,1164.6
1987,Total Manufacturing,Refined Petroleum Products,7599.3
1987,Total Manufacturing,Chemicals & Chemical Products,3022.4
1987,Total Manufacturing,Pharmaceutical & Biological Products,808.8
1987,Total Manufacturing,Rubber & Plastic Products,986.2
1987,Total Manufacturing,Non-metallic Mineral Products,769
1987,Total Manufacturing,Basic Metal,550.3
1987,Total Manufacturing,Fabricated Metal Products,2170.1
1987,Total Manufacturing,"Computer, Electronic & Optical Products",16882.2
1987,Total Manufacturing,Electrical Equipment,1702.6
1987,Total Manufacturing,Machinery & Equipment,2589.3
1987,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",59.9
1987,Total Manufacturing,Other Transport Equipment,2076.2
1987,Total Manufacturing,Furniture,426.4
1987,Total Manufacturing,Other Manufacturing Industries,887.3
1988,Total Manufacturing,"Food, Beverage & Tobacco",2908.4
1988,Total Manufacturing,Textiles,341.5
1988,Total Manufacturing,Wearing Apparel,1761.9
1988,Total Manufacturing,"Leather, Leather Products & Footwear",111
1988,Total Manufacturing,Wood & Wood Products,426.4
1988,Total Manufacturing,Paper & Paper Products,729.9
1988,Total Manufacturing,Printing & Reproduction Of Recorded Media,1378.6
1988,Total Manufacturing,Refined Petroleum Products,7780.6
1988,Total Manufacturing,Chemicals & Chemical Products,4072.3
1988,Total Manufacturing,Pharmaceutical & Biological Products,863.1
1988,Total Manufacturing,Rubber & Plastic Products,1407.6
1988,Total Manufacturing,Non-metallic Mineral Products,764.2
1988,Total Manufacturing,Basic Metal,635.3
1988,Total Manufacturing,Fabricated Metal Products,2842.6
1988,Total Manufacturing,"Computer, Electronic & Optical Products",22052.3
1988,Total Manufacturing,Electrical Equipment,2011.7
1988,Total Manufacturing,Machinery & Equipment,3372.9
1988,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",96.6
1988,Total Manufacturing,Other Transport Equipment,2690.1
1988,Total Manufacturing,Furniture,531.1
1988,Total Manufacturing,Other Manufacturing Industries,1068.2
1989,Total Manufacturing,"Food, Beverage & Tobacco",3144.7
1989,Total Manufacturing,Textiles,368.5
1989,Total Manufacturing,Wearing Apparel,1879.3
1989,Total Manufacturing,"Leather, Leather Products & Footwear",117.1
1989,Total Manufacturing,Wood & Wood Products,428.1
1989,Total Manufacturing,Paper & Paper Products,783.4
1989,Total Manufacturing,Printing & Reproduction Of Recorded Media,1602.2
1989,Total Manufacturing,Refined Petroleum Products,8980.7
1989,Total Manufacturing,Chemicals & Chemical Products,3984.9
1989,Total Manufacturing,Pharmaceutical & Biological Products,964.5
1989,Total Manufacturing,Rubber & Plastic Products,1560.2
1989,Total Manufacturing,Non-metallic Mineral Products,960.5
1989,Total Manufacturing,Basic Metal,715.7
1989,Total Manufacturing,Fabricated Metal Products,3343.6
1989,Total Manufacturing,"Computer, Electronic & Optical Products",25381.8
1989,Total Manufacturing,Electrical Equipment,2317
1989,Total Manufacturing,Machinery & Equipment,3990.6
1989,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",93.7
1989,Total Manufacturing,Other Transport Equipment,3126.8
1989,Total Manufacturing,Furniture,553.2
1989,Total Manufacturing,Other Manufacturing Industries,1075.1
1990,Total Manufacturing,"Food, Beverage & Tobacco",2995.8
1990,Total Manufacturing,Textiles,370.4
1990,Total Manufacturing,Wearing Apparel,1822.8
1990,Total Manufacturing,"Leather, Leather Products & Footwear",113.4
1990,Total Manufacturing,Wood & Wood Products,378.8
1990,Total Manufacturing,Paper & Paper Products,841.2
1990,Total Manufacturing,Printing & Reproduction Of Recorded Media,1791.9
1990,Total Manufacturing,Refined Petroleum Products,11597
1990,Total Manufacturing,Chemicals & Chemical Products,4266.1
1990,Total Manufacturing,Pharmaceutical & Biological Products,1015.2
1990,Total Manufacturing,Rubber & Plastic Products,1630.2
1990,Total Manufacturing,Non-metallic Mineral Products,1160.2
1990,Total Manufacturing,Basic Metal,794.3
1990,Total Manufacturing,Fabricated Metal Products,3597.7
1990,Total Manufacturing,"Computer, Electronic & Optical Products",28778.6
1990,Total Manufacturing,Electrical Equipment,2195
1990,Total Manufacturing,Machinery & Equipment,4280.5
1990,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",105
1990,Total Manufacturing,Other Transport Equipment,3785.6
1990,Total Manufacturing,Furniture,587.8
1990,Total Manufacturing,Other Manufacturing Industries,1202.1
1991,Total Manufacturing,"Food, Beverage & Tobacco",3125.6
1991,Total Manufacturing,Textiles,379
1991,Total Manufacturing,Wearing Apparel,1858.9
1991,Total Manufacturing,"Leather, Leather Products & Footwear",121.3
1991,Total Manufacturing,Wood & Wood Products,326.9
1991,Total Manufacturing,Paper & Paper Products,910.8
1991,Total Manufacturing,Printing & Reproduction Of Recorded Media,2013.9
1991,Total Manufacturing,Refined Petroleum Products,11385.5
1991,Total Manufacturing,Chemicals & Chemical Products,4239.3
1991,Total Manufacturing,Pharmaceutical & Biological Products,1462.8
1991,Total Manufacturing,Rubber & Plastic Products,1832.6
1991,Total Manufacturing,Non-metallic Mineral Products,1461.9
1991,Total Manufacturing,Basic Metal,731.1
1991,Total Manufacturing,Fabricated Metal Products,4007.6
1991,Total Manufacturing,"Computer, Electronic & Optical Products",29973.5
1991,Total Manufacturing,Electrical Equipment,2414.2
1991,Total Manufacturing,Machinery & Equipment,4527.3
1991,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",114.5
1991,Total Manufacturing,Other Transport Equipment,4006.2
1991,Total Manufacturing,Furniture,580.2
1991,Total Manufacturing,Other Manufacturing Industries,1197.2
1992,Total Manufacturing,"Food, Beverage & Tobacco",3168.1
1992,Total Manufacturing,Textiles,362.4
1992,Total Manufacturing,Wearing Apparel,1753.5
1992,Total Manufacturing,"Leather, Leather Products & Footwear",128
1992,Total Manufacturing,Wood & Wood Products,323
1992,Total Manufacturing,Paper & Paper Products,852.1
1992,Total Manufacturing,Printing & Reproduction Of Recorded Media,2229.4
1992,Total Manufacturing,Refined Petroleum Products,10410.2
1992,Total Manufacturing,Chemicals & Chemical Products,3881.3
1992,Total Manufacturing,Pharmaceutical & Biological Products,1370.5
1992,Total Manufacturing,Rubber & Plastic Products,1823.8
1992,Total Manufacturing,Non-metallic Mineral Products,1630
1992,Total Manufacturing,Basic Metal,721.2
1992,Total Manufacturing,Fabricated Metal Products,4286.3
1992,Total Manufacturing,"Computer, Electronic & Optical Products",33055.7
1992,Total Manufacturing,Electrical Equipment,2385.4
1992,Total Manufacturing,Machinery & Equipment,4593.5
1992,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",118.3
1992,Total Manufacturing,Other Transport Equipment,4484.8
1992,Total Manufacturing,Furniture,608.4
1992,Total Manufacturing,Other Manufacturing Industries,1179.3
1993,Total Manufacturing,"Food, Beverage & Tobacco",3366.7
1993,Total Manufacturing,Textiles,339
1993,Total Manufacturing,Wearing Apparel,1430.2
1993,Total Manufacturing,"Leather, Leather Products & Footwear",126.7
1993,Total Manufacturing,Wood & Wood Products,315.8
1993,Total Manufacturing,Paper & Paper Products,910.5
1993,Total Manufacturing,Printing & Reproduction Of Recorded Media,2416
1993,Total Manufacturing,Refined Petroleum Products,11298.7
1993,Total Manufacturing,Chemicals & Chemical Products,4013.9
1993,Total Manufacturing,Pharmaceutical & Biological Products,1430.1
1993,Total Manufacturing,Rubber & Plastic Products,2093.6
1993,Total Manufacturing,Non-metallic Mineral Products,1896.2
1993,Total Manufacturing,Basic Metal,744.3
1993,Total Manufacturing,Fabricated Metal Products,4815.3
1993,Total Manufacturing,"Computer, Electronic & Optical Products",40966.7
1993,Total Manufacturing,Electrical Equipment,2527.1
1993,Total Manufacturing,Machinery & Equipment,4504.1
1993,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",136.1
1993,Total Manufacturing,Other Transport Equipment,4758
1993,Total Manufacturing,Furniture,702.4
1993,Total Manufacturing,Other Manufacturing Industries,1282.8
1994,Total Manufacturing,"Food, Beverage & Tobacco",3693.3
1994,Total Manufacturing,Textiles,304.3
1994,Total Manufacturing,Wearing Apparel,1307.4
1994,Total Manufacturing,"Leather, Leather Products & Footwear",126.1
1994,Total Manufacturing,Wood & Wood Products,303.7
1994,Total Manufacturing,Paper & Paper Products,1007.7
1994,Total Manufacturing,Printing & Reproduction Of Recorded Media,2514.7
1994,Total Manufacturing,Refined Petroleum Products,11066.5
1994,Total Manufacturing,Chemicals & Chemical Products,4933.2
1994,Total Manufacturing,Pharmaceutical & Biological Products,1333.1
1994,Total Manufacturing,Rubber & Plastic Products,2368.5
1994,Total Manufacturing,Non-metallic Mineral Products,2085.4
1994,Total Manufacturing,Basic Metal,731.8
1994,Total Manufacturing,Fabricated Metal Products,5780.3
1994,Total Manufacturing,"Computer, Electronic & Optical Products",50420.9
1994,Total Manufacturing,Electrical Equipment,2993.1
1994,Total Manufacturing,Machinery & Equipment,5133.1
1994,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",127.3
1994,Total Manufacturing,Other Transport Equipment,5217.5
1994,Total Manufacturing,Furniture,713.8
1994,Total Manufacturing,Other Manufacturing Industries,1466.4
1995,Total Manufacturing,"Food, Beverage & Tobacco",3877
1995,Total Manufacturing,Textiles,288.2
1995,Total Manufacturing,Wearing Apparel,1056.2
1995,Total Manufacturing,"Leather, Leather Products & Footwear",122.8
1995,Total Manufacturing,Wood & Wood Products,307.6
1995,Total Manufacturing,Paper & Paper Products,1117.9
1995,Total Manufacturing,Printing & Reproduction Of Recorded Media,2738.6
1995,Total Manufacturing,Refined Petroleum Products,10930
1995,Total Manufacturing,Chemicals & Chemical Products,5894
1995,Total Manufacturing,Pharmaceutical & Biological Products,1343.7
1995,Total Manufacturing,Rubber & Plastic Products,2687.6
1995,Total Manufacturing,Non-metallic Mineral Products,2154.6
1995,Total Manufacturing,Basic Metal,683.9
1995,Total Manufacturing,Fabricated Metal Products,6496.9
1995,Total Manufacturing,"Computer, Electronic & Optical Products",59715.4
1995,Total Manufacturing,Electrical Equipment,3483.8
1995,Total Manufacturing,Machinery & Equipment,6124.6
1995,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",150.1
1995,Total Manufacturing,Other Transport Equipment,5255.2
1995,Total Manufacturing,Furniture,692.7
1995,Total Manufacturing,Other Manufacturing Industries,1420
1996,Total Manufacturing,"Food, Beverage & Tobacco",3958.3
1996,Total Manufacturing,Textiles,237.2
1996,Total Manufacturing,Wearing Apparel,877.9
1996,Total Manufacturing,"Leather, Leather Products & Footwear",116.9
1996,Total Manufacturing,Wood & Wood Products,283.3
1996,Total Manufacturing,Paper & Paper Products,1065.3
1996,Total Manufacturing,Printing & Reproduction Of Recorded Media,2834.1
1996,Total Manufacturing,Refined Petroleum Products,13934.2
1996,Total Manufacturing,Chemicals & Chemical Products,5846.8
1996,Total Manufacturing,Pharmaceutical & Biological Products,1702.2
1996,Total Manufacturing,Rubber & Plastic Products,2717.9
1996,Total Manufacturing,Non-metallic Mineral Products,2472.7
1996,Total Manufacturing,Basic Metal,655.7
1996,Total Manufacturing,Fabricated Metal Products,6516.7
1996,Total Manufacturing,"Computer, Electronic & Optical Products",62974.6
1996,Total Manufacturing,Electrical Equipment,3215.7
1996,Total Manufacturing,Machinery & Equipment,6509.7
1996,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",147.4
1996,Total Manufacturing,Other Transport Equipment,5054.5
1996,Total Manufacturing,Furniture,677
1996,Total Manufacturing,Other Manufacturing Industries,1357.2
1997,Total Manufacturing,"Food, Beverage & Tobacco",4097.2
1997,Total Manufacturing,Textiles,247.4
1997,Total Manufacturing,Wearing Apparel,865.7
1997,Total Manufacturing,"Leather, Leather Products & Footwear",158.7
1997,Total Manufacturing,Wood & Wood Products,306.7
1997,Total Manufacturing,Paper & Paper Products,1006.2
1997,Total Manufacturing,Printing & Reproduction Of Recorded Media,2886.1
1997,Total Manufacturing,Refined Petroleum Products,14888.1
1997,Total Manufacturing,Chemicals & Chemical Products,7978.8
1997,Total Manufacturing,Pharmaceutical & Biological Products,1807.3
1997,Total Manufacturing,Rubber & Plastic Products,2772.3
1997,Total Manufacturing,Non-metallic Mineral Products,2755.7
1997,Total Manufacturing,Basic Metal,673.3
1997,Total Manufacturing,Fabricated Metal Products,6751.7
1997,Total Manufacturing,"Computer, Electronic & Optical Products",65005.6
1997,Total Manufacturing,Electrical Equipment,3186.8
1997,Total Manufacturing,Machinery & Equipment,7058.3
1997,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",147.8
1997,Total Manufacturing,Other Transport Equipment,5355.9
1997,Total Manufacturing,Furniture,712.6
1997,Total Manufacturing,Other Manufacturing Industries,1406
1998,Total Manufacturing,"Food, Beverage & Tobacco",3798.5
1998,Total Manufacturing,Textiles,250.5
1998,Total Manufacturing,Wearing Apparel,861.9
1998,Total Manufacturing,"Leather, Leather Products & Footwear",138.5
1998,Total Manufacturing,Wood & Wood Products,318.5
1998,Total Manufacturing,Paper & Paper Products,880.3
1998,Total Manufacturing,Printing & Reproduction Of Recorded Media,2781.3
1998,Total Manufacturing,Refined Petroleum Products,13216.9
1998,Total Manufacturing,Chemicals & Chemical Products,7756.1
1998,Total Manufacturing,Pharmaceutical & Biological Products,2860.4
1998,Total Manufacturing,Rubber & Plastic Products,2541.6
