year,type,product_type,values
1998,Total Manufacturing,Non-metallic Mineral Products,2206.7
1998,Total Manufacturing,Basic Metal,566.8
1998,Total Manufacturing,Fabricated Metal Products,6597.7
1998,Total Manufacturing,"Computer, Electronic & Optical Products",63248.4
1998,Total Manufacturing,Electrical Equipment,2578.4
1998,Total Manufacturing,Machinery & Equipment,6400.3
1998,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",124.1
1998,Total Manufacturing,Other Transport Equipment,5943.6
1998,Total Manufacturing,Furniture,631.6
1998,Total Manufacturing,Other Manufacturing Industries,1525
1999,Total Manufacturing,"Food, Beverage & Tobacco",3784.4
1999,Total Manufacturing,Textiles,232.8
1999,Total Manufacturing,Wearing Apparel,886.2
1999,Total Manufacturing,"Leather, Leather Products & Footwear",169.1
1999,Total Manufacturing,Wood & Wood Products,264.1
1999,Total Manufacturing,Paper & Paper Products,876.4
1999,Total Manufacturing,Printing & Reproduction Of Recorded Media,2750.7
1999,Total Manufacturing,Refined Petroleum Products,14124.5
1999,Total Manufacturing,Chemicals & Chemical Products,9521.2
1999,Total Manufacturing,Pharmaceutical & Biological Products,4960.1
1999,Total Manufacturing,Rubber & Plastic Products,2781.3
1999,Total Manufacturing,Non-metallic Mineral Products,1739.7
1999,Total Manufacturing,Basic Metal,557.5
1999,Total Manufacturing,Fabricated Metal Products,6689.3
1999,Total Manufacturing,"Computer, Electronic & Optical Products",71494.5
1999,Total Manufacturing,Electrical Equipment,2345.3
1999,Total Manufacturing,Machinery & Equipment,6167.8
1999,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",198.2
1999,Total Manufacturing,Other Transport Equipment,5884.2
1999,Total Manufacturing,Furniture,576.9
1999,Total Manufacturing,Other Manufacturing Industries,1538.3
2000,Total Manufacturing,"Food, Beverage & Tobacco",3750.9
2000,Total Manufacturing,Textiles,275.8
2000,Total Manufacturing,Wearing Apparel,1094.2
2000,Total Manufacturing,"Leather, Leather Products & Footwear",208.6
2000,Total Manufacturing,Wood & Wood Products,293.5
2000,Total Manufacturing,Paper & Paper Products,876.8
2000,Total Manufacturing,Printing & Reproduction Of Recorded Media,3078.3
2000,Total Manufacturing,Refined Petroleum Products,20096.5
2000,Total Manufacturing,Chemicals & Chemical Products,11682.1
2000,Total Manufacturing,Pharmaceutical & Biological Products,4841.5
2000,Total Manufacturing,Rubber & Plastic Products,3461.3
2000,Total Manufacturing,Non-metallic Mineral Products,1692.2
2000,Total Manufacturing,Basic Metal,503.9
2000,Total Manufacturing,Fabricated Metal Products,7510.3
2000,Total Manufacturing,"Computer, Electronic & Optical Products",86297.8
2000,Total Manufacturing,Electrical Equipment,2559.9
2000,Total Manufacturing,Machinery & Equipment,7610.1
2000,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",240.2
2000,Total Manufacturing,Other Transport Equipment,5872.2
2000,Total Manufacturing,Furniture,663.5
2000,Total Manufacturing,Other Manufacturing Industries,1769.1
2001,Total Manufacturing,"Food, Beverage & Tobacco",3821.9
2001,Total Manufacturing,Textiles,262.5
2001,Total Manufacturing,Wearing Apparel,859.7
2001,Total Manufacturing,"Leather, Leather Products & Footwear",192.9
2001,Total Manufacturing,Wood & Wood Products,255.4
2001,Total Manufacturing,Paper & Paper Products,816.7
2001,Total Manufacturing,Printing & Reproduction Of Recorded Media,2782
2001,Total Manufacturing,Refined Petroleum Products,18271.7
2001,Total Manufacturing,Chemicals & Chemical Products,11735.6
2001,Total Manufacturing,Pharmaceutical & Biological Products,5119.2
2001,Total Manufacturing,Rubber & Plastic Products,2785.2
2001,Total Manufacturing,Non-metallic Mineral Products,1311.1
2001,Total Manufacturing,Basic Metal,509
2001,Total Manufacturing,Fabricated Metal Products,6342.9
2001,Total Manufacturing,"Computer, Electronic & Optical Products",64880.2
2001,Total Manufacturing,Electrical Equipment,2172.8
2001,Total Manufacturing,Machinery & Equipment,7047.8
2001,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",195.7
2001,Total Manufacturing,Other Transport Equipment,7224.5
2001,Total Manufacturing,Furniture,600.6
2001,Total Manufacturing,Other Manufacturing Industries,1912.6
2002,Total Manufacturing,"Food, Beverage & Tobacco",4357.2
2002,Total Manufacturing,Textiles,225.6
2002,Total Manufacturing,Wearing Apparel,882.6
2002,Total Manufacturing,"Leather, Leather Products & Footwear",191.4
2002,Total Manufacturing,Wood & Wood Products,268.3
2002,Total Manufacturing,Paper & Paper Products,880.1
2002,Total Manufacturing,Printing & Reproduction Of Recorded Media,2666.5
2002,Total Manufacturing,Refined Petroleum Products,18419.6
2002,Total Manufacturing,Chemicals & Chemical Products,14292.9
2002,Total Manufacturing,Pharmaceutical & Biological Products,8063.7
2002,Total Manufacturing,Rubber & Plastic Products,2980.1
2002,Total Manufacturing,Non-metallic Mineral Products,1416.1
2002,Total Manufacturing,Basic Metal,570.7
2002,Total Manufacturing,Fabricated Metal Products,6692.9
2002,Total Manufacturing,"Computer, Electronic & Optical Products",64663.4
2002,Total Manufacturing,Electrical Equipment,2049.1
2002,Total Manufacturing,Machinery & Equipment,8059.4
2002,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",209.7
2002,Total Manufacturing,Other Transport Equipment,8114.6
2002,Total Manufacturing,Furniture,725.1
2002,Total Manufacturing,Other Manufacturing Industries,2347.5
2003,Total Manufacturing,"Food, Beverage & Tobacco",4286.2
2003,Total Manufacturing,Textiles,250.7
2003,Total Manufacturing,Wearing Apparel,859.2
2003,Total Manufacturing,"Leather, Leather Products & Footwear",208.6
2003,Total Manufacturing,Wood & Wood Products,260.1
2003,Total Manufacturing,Paper & Paper Products,891.5
2003,Total Manufacturing,Printing & Reproduction Of Recorded Media,2722.9
2003,Total Manufacturing,Refined Petroleum Products,21981.3
2003,Total Manufacturing,Chemicals & Chemical Products,18354.3
2003,Total Manufacturing,Pharmaceutical & Biological Products,10089
2003,Total Manufacturing,Rubber & Plastic Products,2872.4
2003,Total Manufacturing,Non-metallic Mineral Products,1397.9
2003,Total Manufacturing,Basic Metal,510.5
2003,Total Manufacturing,Fabricated Metal Products,6656
2003,Total Manufacturing,"Computer, Electronic & Optical Products",66338.4
2003,Total Manufacturing,Electrical Equipment,1984.5
2003,Total Manufacturing,Machinery & Equipment,8226.6
2003,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",896
2003,Total Manufacturing,Other Transport Equipment,7660.9
2003,Total Manufacturing,Furniture,665.8
2003,Total Manufacturing,Other Manufacturing Industries,2379.5
2004,Total Manufacturing,"Food, Beverage & Tobacco",5135.9
2004,Total Manufacturing,Textiles,229.7
2004,Total Manufacturing,Wearing Apparel,881
2004,Total Manufacturing,"Leather, Leather Products & Footwear",213.5
2004,Total Manufacturing,Wood & Wood Products,282.9
2004,Total Manufacturing,Paper & Paper Products,927.7
2004,Total Manufacturing,Printing & Reproduction Of Recorded Media,2737.3
2004,Total Manufacturing,Refined Petroleum Products,28275.3
2004,Total Manufacturing,Chemicals & Chemical Products,24265.5
2004,Total Manufacturing,Pharmaceutical & Biological Products,15380.9
2004,Total Manufacturing,Rubber & Plastic Products,2857.8
2004,Total Manufacturing,Non-metallic Mineral Products,1461.4
2004,Total Manufacturing,Basic Metal,764
2004,Total Manufacturing,Fabricated Metal Products,7435.6
2004,Total Manufacturing,"Computer, Electronic & Optical Products",76839.9
2004,Total Manufacturing,Electrical Equipment,2426.3
2004,Total Manufacturing,Machinery & Equipment,9881.2
2004,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",827
2004,Total Manufacturing,Other Transport Equipment,8956
2004,Total Manufacturing,Furniture,629.8
2004,Total Manufacturing,Other Manufacturing Industries,2115.5
2005,Total Manufacturing,"Food, Beverage & Tobacco",5517.4
2005,Total Manufacturing,Textiles,213.5
2005,Total Manufacturing,Wearing Apparel,684.5
2005,Total Manufacturing,"Leather, Leather Products & Footwear",216.5
2005,Total Manufacturing,Wood & Wood Products,269.4
2005,Total Manufacturing,Paper & Paper Products,1013.4
2005,Total Manufacturing,Printing & Reproduction Of Recorded Media,2836.8
2005,Total Manufacturing,Refined Petroleum Products,40307.2
2005,Total Manufacturing,Chemicals & Chemical Products,27058.3
2005,Total Manufacturing,Pharmaceutical & Biological Products,15865.3
2005,Total Manufacturing,Rubber & Plastic Products,2859.9
2005,Total Manufacturing,Non-metallic Mineral Products,1363.2
2005,Total Manufacturing,Basic Metal,1023.2
2005,Total Manufacturing,Fabricated Metal Products,7734.6
2005,Total Manufacturing,"Computer, Electronic & Optical Products",82243
2005,Total Manufacturing,Electrical Equipment,2570.9
2005,Total Manufacturing,Machinery & Equipment,11850.3
2005,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",796.8
2005,Total Manufacturing,Other Transport Equipment,10742.9
2005,Total Manufacturing,Furniture,598.6
2005,Total Manufacturing,Other Manufacturing Industries,2383.1
2006,Total Manufacturing,"Food, Beverage & Tobacco",5760.1
2006,Total Manufacturing,Textiles,168.6
2006,Total Manufacturing,Wearing Apparel,586.7
2006,Total Manufacturing,"Leather, Leather Products & Footwear",239.4
2006,Total Manufacturing,Wood & Wood Products,279.3
2006,Total Manufacturing,Paper & Paper Products,1003.8
2006,Total Manufacturing,Printing & Reproduction Of Recorded Media,2974.3
2006,Total Manufacturing,Refined Petroleum Products,46118.4
2006,Total Manufacturing,Chemicals & Chemical Products,32437.9
2006,Total Manufacturing,Pharmaceutical & Biological Products,21093
2006,Total Manufacturing,Rubber & Plastic Products,2965.1
2006,Total Manufacturing,Non-metallic Mineral Products,1492.9
2006,Total Manufacturing,Basic Metal,1234.4
2006,Total Manufacturing,Fabricated Metal Products,8742.5
2006,Total Manufacturing,"Computer, Electronic & Optical Products",79316.1
2006,Total Manufacturing,Electrical Equipment,2953
2006,Total Manufacturing,Machinery & Equipment,14270.1
2006,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",847.5
2006,Total Manufacturing,Other Transport Equipment,13633.6
2006,Total Manufacturing,Furniture,564.4
2006,Total Manufacturing,Other Manufacturing Industries,2424.6
2007,Total Manufacturing,"Food, Beverage & Tobacco",6286.7
2007,Total Manufacturing,Textiles,143.2
2007,Total Manufacturing,Wearing Apparel,730.1
2007,Total Manufacturing,"Leather, Leather Products & Footwear",247.3
2007,Total Manufacturing,Wood & Wood Products,258.8
2007,Total Manufacturing,Paper & Paper Products,1053.3
2007,Total Manufacturing,Printing & Reproduction Of Recorded Media,3028.3
2007,Total Manufacturing,Refined Petroleum Products,48047
2007,Total Manufacturing,Chemicals & Chemical Products,35457.3
2007,Total Manufacturing,Pharmaceutical & Biological Products,20838.3
2007,Total Manufacturing,Rubber & Plastic Products,2678.3
2007,Total Manufacturing,Non-metallic Mineral Products,1938.9
2007,Total Manufacturing,Basic Metal,1368.6
2007,Total Manufacturing,Fabricated Metal Products,9176.5
2007,Total Manufacturing,"Computer, Electronic & Optical Products",82247.4
2007,Total Manufacturing,Electrical Equipment,3161.4
2007,Total Manufacturing,Machinery & Equipment,19028.6
2007,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",795
2007,Total Manufacturing,Other Transport Equipment,14271.7
2007,Total Manufacturing,Furniture,621.3
2007,Total Manufacturing,Other Manufacturing Industries,3293.5
2008,Total Manufacturing,"Food, Beverage & Tobacco",7692.8
2008,Total Manufacturing,Textiles,145.1
2008,Total Manufacturing,Wearing Apparel,565.2
2008,Total Manufacturing,"Leather, Leather Products & Footwear",212.5
2008,Total Manufacturing,Wood & Wood Products,290.9
2008,Total Manufacturing,Paper & Paper Products,1100.1
2008,Total Manufacturing,Printing & Reproduction Of Recorded Media,3094.4
2008,Total Manufacturing,Refined Petroleum Products,59950.8
2008,Total Manufacturing,Chemicals & Chemical Products,35044.4
2008,Total Manufacturing,Pharmaceutical & Biological Products,17168.8
2008,Total Manufacturing,Rubber & Plastic Products,2518.5
2008,Total Manufacturing,Non-metallic Mineral Products,2196.1
2008,Total Manufacturing,Basic Metal,1705.8
2008,Total Manufacturing,Fabricated Metal Products,9831.9
2008,Total Manufacturing,"Computer, Electronic & Optical Products",78352.5
2008,Total Manufacturing,Electrical Equipment,3298
2008,Total Manufacturing,Machinery & Equipment,20461.1
2008,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",650.8
2008,Total Manufacturing,Other Transport Equipment,16481
2008,Total Manufacturing,Furniture,837
2008,Total Manufacturing,Other Manufacturing Industries,3408.4
2009,Total Manufacturing,"Food, Beverage & Tobacco",7735.7
2009,Total Manufacturing,Textiles,91.6
2009,Total Manufacturing,Wearing Apparel,677.2
2009,Total Manufacturing,"Leather, Leather Products & Footwear",89.7
2009,Total Manufacturing,Wood & Wood Products,268.7
2009,Total Manufacturing,Paper & Paper Products,1018
2009,Total Manufacturing,Printing & Reproduction Of Recorded Media,2623
2009,Total Manufacturing,Refined Petroleum Products,35388.5
2009,Total Manufacturing,Chemicals & Chemical Products,27781.3
2009,Total Manufacturing,Pharmaceutical & Biological Products,17078.7
2009,Total Manufacturing,Rubber & Plastic Products,2134.9
2009,Total Manufacturing,Non-metallic Mineral Products,2027.6
2009,Total Manufacturing,Basic Metal,1027.9
2009,Total Manufacturing,Fabricated Metal Products,9041.8
2009,Total Manufacturing,"Computer, Electronic & Optical Products",77978.3
2009,Total Manufacturing,Electrical Equipment,2712.3
2009,Total Manufacturing,Machinery & Equipment,19000.2
2009,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",578.3
2009,Total Manufacturing,Other Transport Equipment,15698.4
2009,Total Manufacturing,Furniture,1037.8
2009,Total Manufacturing,Other Manufacturing Industries,3718.3
2010,Total Manufacturing,"Food, Beverage & Tobacco",8472.3
2010,Total Manufacturing,Textiles,54.1
2010,Total Manufacturing,Wearing Apparel,613.6
2010,Total Manufacturing,"Leather, Leather Products & Footwear",99.7
2010,Total Manufacturing,Wood & Wood Products,245.3
2010,Total Manufacturing,Paper & Paper Products,1129
2010,Total Manufacturing,Printing & Reproduction Of Recorded Media,2676.4
2010,Total Manufacturing,Refined Petroleum Products,42325.9
2010,Total Manufacturing,Chemicals & Chemical Products,38230.6
2010,Total Manufacturing,Pharmaceutical & Biological Products,18061.1
2010,Total Manufacturing,Rubber & Plastic Products,2360.4
2010,Total Manufacturing,Non-metallic Mineral Products,1880.5
2010,Total Manufacturing,Basic Metal,1158.8
2010,Total Manufacturing,Fabricated Metal Products,9332.4
2010,Total Manufacturing,"Computer, Electronic & Optical Products",101827.6
2010,Total Manufacturing,Electrical Equipment,2524.4
2010,Total Manufacturing,Machinery & Equipment,21710.8
2010,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",723.1
2010,Total Manufacturing,Other Transport Equipment,15333.7
2010,Total Manufacturing,Furniture,1116.1
2010,Total Manufacturing,Other Manufacturing Industries,4527.5
2011,Total Manufacturing,"Food, Beverage & Tobacco",9626.8
2011,Total Manufacturing,Textiles,65.9
2011,Total Manufacturing,Wearing Apparel,629.7
2011,Total Manufacturing,"Leather, Leather Products & Footwear",137.6
2011,Total Manufacturing,Wood & Wood Products,248.3
2011,Total Manufacturing,Paper & Paper Products,1085.2
2011,Total Manufacturing,Printing & Reproduction Of Recorded Media,2677.4
2011,Total Manufacturing,Refined Petroleum Products,55968.7
2011,Total Manufacturing,Chemicals & Chemical Products,42723.8
2011,Total Manufacturing,Pharmaceutical & Biological Products,21618.9
2011,Total Manufacturing,Rubber & Plastic Products,2189
2011,Total Manufacturing,Non-metallic Mineral Products,2138.7
2011,Total Manufacturing,Basic Metal,1329.8
2011,Total Manufacturing,Fabricated Metal Products,9468.1
2011,Total Manufacturing,"Computer, Electronic & Optical Products",95066.6
2011,Total Manufacturing,Electrical Equipment,2515.5
2011,Total Manufacturing,Machinery & Equipment,25553.5
2011,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",780.8
2011,Total Manufacturing,Other Transport Equipment,15495.7
2011,Total Manufacturing,Furniture,1092.2
2011,Total Manufacturing,Other Manufacturing Industries,5117
2012,Total Manufacturing,"Food, Beverage & Tobacco",9817.9
2012,Total Manufacturing,Textiles,59.4
2012,Total Manufacturing,Wearing Apparel,573.9
2012,Total Manufacturing,"Leather, Leather Products & Footwear",157.9
2012,Total Manufacturing,Wood & Wood Products,339.1
2012,Total Manufacturing,Paper & Paper Products,1041.5
2012,Total Manufacturing,Printing & Reproduction Of Recorded Media,2467.4
2012,Total Manufacturing,Refined Petroleum Products,57229.4
2012,Total Manufacturing,Chemicals & Chemical Products,41121.1
2012,Total Manufacturing,Pharmaceutical & Biological Products,25121.1
2012,Total Manufacturing,Rubber & Plastic Products,2061.8
2012,Total Manufacturing,Non-metallic Mineral Products,2500.9
2012,Total Manufacturing,Basic Metal,1255.2
2012,Total Manufacturing,Fabricated Metal Products,9822.9
2012,Total Manufacturing,"Computer, Electronic & Optical Products",91861.8
2012,Total Manufacturing,Electrical Equipment,2661.5
2012,Total Manufacturing,Machinery & Equipment,28403.5
2012,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",808.6
2012,Total Manufacturing,Other Transport Equipment,17135.8
2012,Total Manufacturing,Furniture,1010.6
2012,Total Manufacturing,Other Manufacturing Industries,6099.4
2013,Total Manufacturing,"Food, Beverage & Tobacco",9811
2013,Total Manufacturing,Textiles,61.6
2013,Total Manufacturing,Wearing Apparel,478.1
2013,Total Manufacturing,"Leather, Leather Products & Footwear",171.1
2013,Total Manufacturing,Wood & Wood Products,349.4
2013,Total Manufacturing,Paper & Paper Products,1103.8
2013,Total Manufacturing,Printing & Reproduction Of Recorded Media,2352.4
2013,Total Manufacturing,Refined Petroleum Products,51027
2013,Total Manufacturing,Chemicals & Chemical Products,50019.7
2013,Total Manufacturing,Pharmaceutical & Biological Products,16920.2
2013,Total Manufacturing,Rubber & Plastic Products,2020.2
2013,Total Manufacturing,Non-metallic Mineral Products,2630.6
2013,Total Manufacturing,Basic Metal,1044.9
2013,Total Manufacturing,Fabricated Metal Products,9639.6
2013,Total Manufacturing,"Computer, Electronic & Optical Products",93938.2
2013,Total Manufacturing,Electrical Equipment,2666.4
2013,Total Manufacturing,Machinery & Equipment,28987.1
2013,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",1021.7
2013,Total Manufacturing,Other Transport Equipment,17557.3
2013,Total Manufacturing,Furniture,1300.5
2013,Total Manufacturing,Other Manufacturing Industries,6522.9
2014,Total Manufacturing,"Food, Beverage & Tobacco",10352
2014,Total Manufacturing,Textiles,50.4
2014,Total Manufacturing,Wearing Apparel,353.7
2014,Total Manufacturing,"Leather, Leather Products & Footwear",159.2
2014,Total Manufacturing,Wood & Wood Products,367.4
2014,Total Manufacturing,Paper & Paper Products,1143.1
2014,Total Manufacturing,Printing & Reproduction Of Recorded Media,2376.6
2014,Total Manufacturing,Refined Petroleum Products,46359.5
2014,Total Manufacturing,Chemicals & Chemical Products,55340.4
2014,Total Manufacturing,Pharmaceutical & Biological Products,16891.3
2014,Total Manufacturing,Rubber & Plastic Products,2011.2
2014,Total Manufacturing,Non-metallic Mineral Products,2168.2
2014,Total Manufacturing,Basic Metal,1387.4
2014,Total Manufacturing,Fabricated Metal Products,9653.7
2014,Total Manufacturing,"Computer, Electronic & Optical Products",89463.6
2014,Total Manufacturing,Electrical Equipment,2768.5
2014,Total Manufacturing,Machinery & Equipment,33905.2
2014,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",1089.2
2014,Total Manufacturing,Other Transport Equipment,17554.6
2014,Total Manufacturing,Furniture,968.9
2014,Total Manufacturing,Other Manufacturing Industries,12277.8
2015,Total Manufacturing,"Food, Beverage & Tobacco",10598.5
2015,Total Manufacturing,Textiles,53.5
2015,Total Manufacturing,Wearing Apparel,259.1
2015,Total Manufacturing,"Leather, Leather Products & Footwear",167.1
2015,Total Manufacturing,Wood & Wood Products,348.9
2015,Total Manufacturing,Paper & Paper Products,1123.8
2015,Total Manufacturing,Printing & Reproduction Of Recorded Media,2251.2
2015,Total Manufacturing,Refined Petroleum Products,32482.8
2015,Total Manufacturing,Chemicals & Chemical Products,44916.5
2015,Total Manufacturing,Pharmaceutical & Biological Products,16721.2
2015,Total Manufacturing,Rubber & Plastic Products,1857.1
2015,Total Manufacturing,Non-metallic Mineral Products,2121.4
2015,Total Manufacturing,Basic Metal,1161.5
2015,Total Manufacturing,Fabricated Metal Products,8920.4
2015,Total Manufacturing,"Computer, Electronic & Optical Products",98625.4
2015,Total Manufacturing,Electrical Equipment,2712.9
2015,Total Manufacturing,Machinery & Equipment,30561.1
2015,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",1178.6
2015,Total Manufacturing,Other Transport Equipment,16637.2
2015,Total Manufacturing,Furniture,917.4
2015,Total Manufacturing,Other Manufacturing Industries,11075.6
2016,Total Manufacturing,"Food, Beverage & Tobacco",10322.9
2016,Total Manufacturing,Textiles,51.3
2016,Total Manufacturing,Wearing Apparel,236.7
2016,Total Manufacturing,"Leather, Leather Products & Footwear",138.5
2016,Total Manufacturing,Wood & Wood Products,319.4
2016,Total Manufacturing,Paper & Paper Products,1105.2
2016,Total Manufacturing,Printing & Reproduction Of Recorded Media,1931.3
2016,Total Manufacturing,Refined Petroleum Products,25478
2016,Total Manufacturing,Chemicals & Chemical Products,40104.2
2016,Total Manufacturing,Pharmaceutical & Biological Products,18281.2
2016,Total Manufacturing,Rubber & Plastic Products,1744.1
2016,Total Manufacturing,Non-metallic Mineral Products,1764.8
2016,Total Manufacturing,Basic Metal,1003
2016,Total Manufacturing,Fabricated Metal Products,8219.6
2016,Total Manufacturing,"Computer, Electronic & Optical Products",99253.2
2016,Total Manufacturing,Electrical Equipment,2660.9
2016,Total Manufacturing,Machinery & Equipment,27057.7
2016,Total Manufacturing,"Motor Vehicles, Trailers & Semi-trailers",1225.5
2016,Total Manufacturing,Other Transport Equipment,16778.7
2016,Total Manufacturing,Furniture,868.9
2016,Total Manufacturing,Other Manufacturing Industries,11910
